infP,infC,infAc,infpro,infS,MLSS,MLVSS,VSS/TSS,volumn,ana-time,pH,T,salinity,SR
12.57,70.32,70.32,0.0,166.17,6.15,3.07,0.5,10.0,6.0,8.0,22.0,0.09,34.45
9.29,67.4,67.4,0.0,135.8,8.48,4.82,0.57,20.0,12.0,7.4,30.0,0.7,8.22
9.04,67.4,67.4,0.0,135.8,8.67,5.94,0.69,20.0,12.0,7.4,30.0,0.7,18.67
10.36,85.0,52.01,32.99,155.14,9.6,6.91,0.72,0.5,0.3,7.5,30.0,0.7,3.06
11.21,74.84,74.84,0.0,209.74,4.83,2.38,0.49,10.0,6.0,8.0,22.0,0.09,70.65
8.44,75.75,75.75,0.0,151.49,6.7,4.4,0.66,20.0,6.0,7.5,30.0,0.7,27.92
9.51,70.92,70.92,0.0,189.4,4.9,2.18,0.44,10.0,6.0,8.0,22.0,0.09,62.49
10.61,68.39,68.39,0.0,196.32,5.24,2.65,0.5,10.0,6.0,8.0,22.0,0.09,63.28
11.36,76.8,76.8,0.0,151.9,7.0,4.0,0.57,20.0,12.0,7.4,30.0,0.7,31.78
10.11,76.8,76.8,0.0,151.9,7.52,4.09,0.54,20.0,12.0,7.4,30.0,0.7,68.22
10.1,75.4,75.4,0.0,180.23,10.64,3.52,0.33,10.0,6.0,8.0,22.0,0.09,75.93
7.18,30.0,30.0,0.0,111.99,8.2,3.3,0.4,1.0,2.5,7.1,22.0,0.09,57.77
11.0,75.0,50.25,24.75,164.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,47.81
10.72,72.26,72.26,0.0,192.45,4.21,1.95,0.46,10.0,6.0,8.0,22.0,0.09,48.58
11.6,58.41,58.41,0.0,157.85,11.33,3.88,0.34,4.0,3.0,7.6,22.0,0.09,73.46
12.21,57.0,57.0,0.0,129.0,4.3,3.3,0.77,4.0,5.8,7.4,30.0,0.7,25.65
10.11,71.25,47.74,23.51,151.6,6.15,3.88,0.63,30.0,8.0,7.5,30.0,0.7,34.25
16.92,75.36,50.49,24.87,157.0,11.6,7.47,0.64,30.0,9.9,7.5,30.0,0.7,62.2
35.49,75.38,50.5,24.87,150.75,8.2,5.6,0.68,14.0,8.5,7.6,22.0,0.7,30.79
12.36,52.0,52.0,0.0,118.0,4.0,3.1,0.78,4.0,5.8,7.4,30.0,0.05,29.18
11.21,76.8,76.8,0.0,151.9,7.0,4.12,0.59,20.0,12.0,7.4,30.0,0.7,49.56
9.62,82.19,82.19,0.0,246.57,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,28.4
11.29,67.4,67.4,0.0,135.8,7.97,4.79,0.6,20.0,12.0,7.4,30.0,0.7,24.22
11.15,69.8,69.8,0.0,190.47,6.3,2.53,0.4,10.0,6.0,8.0,22.0,0.09,77.13
11.73,75.44,50.54,24.9,150.88,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,15.51
12.5,81.53,81.53,0.0,163.07,6.7,4.4,0.66,20.0,7.9,7.5,30.0,0.7,18.84
11.28,75.0,50.25,24.75,185.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,18.55
10.36,85.0,52.01,32.99,155.56,9.6,6.91,0.72,0.5,0.3,8.0,30.0,0.7,0.0
10.36,75.02,75.02,0.0,225.05,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,32.91
12.09,75.51,50.59,24.92,151.02,7.2,5.32,0.74,20.0,6.0,7.5,30.0,0.7,8.82
13.93,75.0,50.25,24.75,160.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,39.75
10.08,75.0,50.25,24.75,172.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,29.11
11.89,63.23,63.23,0.0,167.39,5.63,2.69,0.48,10.0,6.0,8.0,22.0,0.09,39.87
9.4,52.0,52.0,0.0,118.0,4.0,3.1,0.78,4.0,5.8,7.4,30.0,0.05,20.05
10.52,85.0,0.0,85.0,166.29,9.6,6.91,0.72,0.5,1.0,7.6,30.0,0.7,4.25
8.82,67.4,67.4,0.0,135.8,7.88,5.21,0.66,20.0,12.0,7.4,30.0,0.7,26.67
9.84,75.87,75.87,0.0,199.28,8.2,3.5,0.43,1.0,5.0,7.1,22.0,0.09,100.71
8.65,75.0,50.25,24.75,165.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,20.75
9.37,58.0,58.0,0.0,114.0,3.1,2.4,0.77,4.0,7.8,7.4,20.0,0.05,23.16
10.09,84.0,64.58,19.42,151.99,9.6,6.91,0.72,0.5,3.0,7.6,25.0,0.7,11.09
9.69,71.29,71.29,0.0,199.59,6.64,2.58,0.39,10.0,6.0,8.0,22.0,0.09,77.12
10.81,75.0,50.25,24.75,159.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,42.76
9.91,56.97,56.97,0.0,134.85,4.0,3.1,0.78,4.0,4.5,7.4,30.0,0.05,20.21
15.46,78.0,52.26,25.74,159.18,7.0,5.37,0.77,20.0,5.0,7.5,30.0,0.4,5.29
22.05,78.0,52.26,25.74,162.5,11.9,7.34,0.62,30.0,17.0,7.5,30.0,0.7,57.82
10.01,71.29,71.29,0.0,195.09,14.44,3.79,0.26,10.0,6.0,8.0,22.0,0.09,97.17
10.42,70.92,70.92,0.0,177.43,14.87,3.73,0.25,10.0,6.0,8.0,22.0,0.09,83.15
11.53,82.48,82.48,0.0,164.96,6.7,4.4,0.66,20.0,6.1,7.5,30.0,0.7,42.69
10.1,75.0,50.25,24.75,189.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,18.38
9.64,76.8,76.8,0.0,151.9,7.91,4.94,0.62,20.0,12.0,7.4,30.0,0.7,47.78
8.42,76.04,76.04,0.0,152.09,6.7,4.4,0.66,20.0,8.8,7.5,30.0,0.7,51.07
10.83,74.58,49.97,24.61,157.83,7.3,5.3,0.73,20.0,4.0,7.5,30.0,0.7,2.17
8.96,67.93,67.93,0.0,169.74,12.02,3.49,0.29,10.0,6.0,8.0,22.0,0.09,78.16
10.83,74.58,49.97,24.61,157.83,7.3,5.3,0.73,20.0,2.0,7.5,30.0,0.7,3.04
11.7,70.32,70.32,0.0,186.68,6.02,3.12,0.52,10.0,6.0,8.0,22.0,0.09,58.98
14.75,75.02,50.26,24.75,150.03,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,22.15
11.65,72.0,48.24,23.76,160.0,6.91,4.09,0.59,30.0,5.0,7.5,30.0,0.7,3.65
12.67,75.44,50.54,24.9,150.88,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,14.67
10.37,73.53,73.53,0.0,188.96,5.89,2.7,0.46,10.0,6.0,8.0,22.0,0.09,80.47
11.59,72.9,72.9,0.0,174.72,5.07,2.58,0.51,10.0,6.0,8.0,22.0,0.09,39.28
10.36,85.0,52.01,32.99,155.09,9.6,6.91,0.72,0.5,0.3,7.0,30.0,0.7,4.22
7.22,76.0,50.92,25.08,152.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,21.5
11.13,76.4,51.19,25.21,170.23,12.0,7.6,0.63,20.0,4.0,7.5,30.0,0.7,71.16
9.91,56.97,56.97,0.0,134.85,4.0,3.1,0.78,4.0,1.5,7.4,30.0,0.05,13.61
12.42,68.0,45.56,22.44,136.0,5.5,4.6,0.84,14.0,5.6,7.6,22.0,0.7,6.24
9.6,76.15,76.15,0.0,206.26,17.1,3.89,0.23,10.0,6.0,8.0,22.0,0.09,90.3
9.68,76.8,76.8,0.0,151.9,7.0,4.09,0.58,20.0,12.0,7.4,30.0,0.7,67.78
10.32,69.27,46.41,22.86,147.38,6.91,4.09,0.59,30.0,8.0,7.5,30.0,0.7,13.87
9.23,72.41,72.41,0.0,167.75,14.58,4.08,0.28,10.0,6.0,8.0,22.0,0.09,75.06
10.4,92.72,92.72,0.0,185.45,6.7,4.4,0.66,20.0,8.1,7.5,30.0,0.7,43.21
9.89,76.8,76.8,0.0,151.9,7.36,4.42,0.6,20.0,12.0,7.4,30.0,0.7,24.0
9.91,56.97,56.97,0.0,134.85,4.0,3.1,0.78,4.0,3.0,7.4,30.0,0.05,19.38
18.09,75.0,50.25,24.75,150.0,7.0,5.28,0.75,20.0,5.0,7.5,30.0,0.7,8.46
3.25,104.2,104.2,0.0,312.6,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,58.47
10.85,81.0,54.27,26.73,176.78,7.0,5.3,0.76,20.0,2.0,7.5,30.0,0.7,4.76
5.91,85.0,42.0,43.0,163.05,9.6,6.91,0.72,0.5,0.5,7.6,30.0,0.7,2.52
8.82,56.76,56.76,0.0,117.07,8.2,3.3,0.4,1.0,3.5,7.1,22.0,0.09,84.88
10.39,70.53,47.26,23.27,141.06,5.5,4.6,0.84,14.0,5.0,7.6,22.0,0.7,12.73
11.14,75.0,47.32,27.68,164.85,9.6,6.91,0.72,20.0,0.3,7.6,30.0,0.7,8.01
9.0,75.78,75.78,0.0,227.33,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,26.82
10.07,76.8,76.8,0.0,151.9,7.15,4.15,0.58,20.0,12.0,7.4,30.0,0.7,43.11
9.41,52.57,52.57,0.0,134.63,4.3,3.3,0.77,7.0,6.0,7.4,30.0,0.7,24.18
11.13,76.4,51.19,25.21,170.23,12.0,7.6,0.63,20.0,6.0,7.5,30.0,0.7,88.37
6.42,85.0,62.88,22.12,163.23,9.6,6.91,0.72,0.5,0.3,7.6,30.0,0.7,1.96
19.74,74.5,49.92,24.59,155.21,11.5,7.54,0.66,30.0,17.7,7.5,30.0,0.7,43.85
3.01,108.1,108.1,0.0,216.2,6.7,4.4,0.66,20.0,8.6,7.5,30.0,0.7,54.75
6.42,85.0,62.88,22.12,163.23,9.6,6.91,0.72,0.5,2.0,7.6,30.0,0.7,11.67
10.88,70.97,70.97,0.0,203.67,4.85,2.43,0.5,10.0,6.0,8.0,22.0,0.09,60.76
9.48,79.54,79.54,0.0,238.61,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,24.56
12.36,85.0,52.01,32.99,158.61,9.6,6.91,0.72,0.5,2.0,6.5,30.0,0.7,9.36
10.65,73.16,73.16,0.0,204.43,6.48,2.69,0.41,10.0,6.0,8.0,22.0,0.09,80.67
9.66,78.62,78.62,0.0,235.85,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,25.32
9.79,76.8,76.8,0.0,151.9,7.15,4.15,0.58,20.0,12.0,7.4,30.0,0.7,50.89
10.83,69.05,69.05,0.0,183.72,9.39,3.37,0.36,10.0,6.0,8.0,22.0,0.09,77.69
11.59,69.03,69.03,0.0,198.41,5.45,2.98,0.55,10.0,6.0,8.0,22.0,0.09,57.33
9.33,70.17,70.17,0.0,182.96,16.54,3.69,0.22,10.0,6.0,8.0,22.0,0.09,85.95
6.93,71.05,71.05,0.0,142.09,6.7,4.4,0.66,20.0,9.5,7.5,30.0,0.7,49.24
10.36,76.8,76.8,0.0,151.9,6.88,3.97,0.58,20.0,12.0,7.4,30.0,0.7,51.56
1.57,83.44,83.44,0.0,250.33,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,42.12
10.42,70.17,70.17,0.0,178.91,6.4,2.75,0.43,10.0,6.0,8.0,22.0,0.09,70.28
10.46,70.17,70.17,0.0,199.38,18.06,3.89,0.22,10.0,6.0,8.0,22.0,0.09,88.82
13.34,57.0,57.0,0.0,129.0,4.3,3.3,0.77,4.0,5.8,7.4,30.0,0.7,20.39
8.36,67.4,67.4,0.0,135.8,8.06,5.18,0.64,20.0,12.0,7.4,30.0,0.7,36.22
6.54,52.6,52.6,0.0,117.24,3.1,2.4,0.77,4.0,8.0,7.4,20.0,0.05,18.28
9.88,83.6,83.6,0.0,250.8,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,29.47
10.36,85.0,52.01,32.99,155.09,9.6,6.91,0.72,0.5,0.5,7.0,30.0,0.7,5.01
10.52,85.0,0.0,85.0,166.29,9.6,6.91,0.72,0.5,0.3,7.6,30.0,0.7,0.34
11.13,76.4,51.19,25.21,170.23,12.0,7.6,0.63,20.0,8.0,7.5,30.0,0.7,85.58
10.21,76.8,76.8,0.0,151.9,7.0,4.0,0.57,20.0,12.0,7.4,30.0,0.7,59.78
