infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P class
11.1,51.35,85,158.61,9.6,6.91,0.72,1.5,0.5,7.6,9.087692,0
10.46,18.7,67.4,135.8,7.79,5.09,0.65,12,24,7.4,46.644627,0
8.31,29.88,80.08,160.16,6.7,4.4,0.66,7.5,8.2,7.5,49.323395,2
9.37,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,23.05713,1
15.62,50,71,142,7.5,5.3,0.71,3,3,7.6,11.29244,0
9.4,45,52,118,4,3.1,0.78,5.8,3.8,7.4,20.333565,0
9.45,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,22.344269,0
13.44,50,75,150,7.5,5.3,0.71,3,3,7.6,15.3784685,0
11.21,41.59,74.84,209.74,4.83,2.38,0.49,6,2,8,70.66547,1
10.42,30.67,70.17,178.91,6.4,2.75,0.43,6,2,8,70.21311,1
11.78,50,85.35,170.7,7.5,5.3,0.71,3,3,7.6,21.382565,1
17.65,50,84,168,7.5,5.3,0.71,3,3,7.6,25.376663,0
10.96,18.7,67.4,135.8,8.09,5.18,0.64,12,24,7.4,34.564003,1
11.43,18.7,67.4,135.8,9.06,6.76,0.75,12,24,7.4,30.38697,0
11.42,30.92,67.93,185.18,7.15,2.79,0.39,6,2,8,80.8885,1
10.34,29.56,72.26,209.79,4.84,2.35,0.49,6,2,8,79.728,1
11.89,0,63.23,167.39,5.63,2.69,0.48,6,2,8,40.103775,0
10.11,18.49,76.04,193.78,8.2,3.5,0.43,5,2,7.1,101.1935,2
9.74,51.26,73.16,196.63,13.96,3.8,0.27,6,2,8,84.53484,2
12.05,50,72,144,5.5,4.6,0.84,5.4,5.4,7.6,4.085205,0
11.01,47.5,75,187,9.6,6.91,0.72,2,1.5,7.4,19.175198,2
11.14,55,75,164.85,9.6,6.91,0.72,2,1,7.6,31.990744,1
10.05,50,75.45,150.9,5.5,4.6,0.84,4.8,4.8,7.6,9.1440735,1
10.36,50.63,85,155.56,9.6,6.91,0.72,2,1,8,10.948464,2
11.15,28.44,73.53,206.1,20.14,4.15,0.21,6,2,8,104.875244,2
11.96,22.8,76.8,151.9,6.91,4.18,0.61,12,24,7.4,26.06656,2
10.36,51.17,85,155.09,9.6,6.91,0.72,2,0.3,7,13.237605,0
9.42,30.3,74.28,186.93,8.15,3.04,0.37,6,2,8,73.09667,0
9.89,45,52,118,4,3.1,0.78,5.8,3.8,7.4,22.5021,0
11.28,47.5,75,185,9.6,6.91,0.72,2,1.5,7.4,18.528337,2
12.3,0,71.61,170.85,6.31,3.16,0.5,6,2,8,35.984863,0
27.25,50,76.4,159.17,11.9,8.23,0.69,14.9,26.2,7.5,60.96066,0
7.07,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,22.053135,1
9.96,29.43,70.55,187.35,9.83,3.54,0.36,6,2,8,80.013695,0
7.18,16.66,30,111.99,8.2,3.3,0.4,2.5,4,7.1,57.71307,0
11.71,46.73,75.06,150.12,6.7,4.4,0.66,7,6.4,7.5,21.844929,2
9.14,41.09,74.28,182.1,10.12,3.22,0.32,6,2,8,87.62072,1
10.96,41.09,70.55,176.51,16.64,3.44,0.21,6,2,8,73.21782,2
10.04,22.8,76.8,151.9,6.88,4.03,0.59,12,24,7.4,66.79479,2
11.13,60.73,76.4,170.23,12,7.6,0.63,8,24,7.5,85.9253,0
9.29,18.7,67.4,135.8,8.48,4.82,0.57,12,24,7.4,8.60773,0
10.29,22.8,76.8,151.9,7,4.12,0.59,12,24,7.4,58.86066,0
13.93,47.5,75,160,9.6,6.91,0.72,2,1.5,7.4,39.73514,1
9.5,39.44,84.72,169.44,6.7,4.4,0.66,8.2,10.8,7.5,43.80198,2
9.96,31.66,84.35,168.7,6.7,4.4,0.66,8.2,10.6,7.5,46.29628,2
13.34,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,20.935427,0
9.99,50,76.71,153.42,7.2,5.32,0.74,6,6,7.5,13.48551,0
11.05,19.64,73.55,185.92,5.57,3.1,0.56,6,2,8,48.101315,0
9.96,31.44,83.34,166.67,6.7,4.4,0.66,8.4,11.4,7.5,48.774277,2
12.57,0,66.45,170.04,6.17,3.17,0.51,6,2,8,37.950638,0
13.93,47.5,75,195,9.6,6.91,0.72,2,1.5,7.4,16.342123,2
10.93,47.5,75,161,9.6,6.91,0.72,2,1.5,7.4,47.124153,1
8.63,40.49,86.85,260.56,7.7,4.6,0.6,6,3,7.5,34.331818,2
10.1,48.78,76.52,182.26,12.59,3.78,0.3,6,2,8,80.775055,1
10.7,47.5,75,182,9.6,6.91,0.72,2,1.5,7.4,28.540531,1
10.39,19.14,74.19,197.49,4.73,2.17,0.46,6,2,8,60.423298,1
10.5,29.43,70.97,189.76,4.94,2.34,0.47,6,2,8,46.812828,1
11.13,60.73,76.4,170.23,12,7.6,0.63,8,2,7.5,85.9253,0
7.42,20.96,63.55,72.61,8.2,3.3,0.4,9,2,7.1,70.80653,0
10.6,31,72.9,202.7,8.2,4,0.49,3.5,1.5,7.6,69.64814,0
10.14,30.05,70.17,197.35,19.93,4.05,0.2,6,2,8,85.442665,2
11.48,29.43,70.32,195.65,5.25,2.74,0.52,6,2,8,61.660023,0
9.87,49.65,69.05,194.49,16.42,3.76,0.23,6,2,8,101.185295,2
10.36,43.95,85,155.14,9.6,6.91,0.72,2,0.5,7.5,11.311963,2
11.6,40,74,201.8,8.2,3.3,0.4,10,2.5,7.6,87.42183,0
9.69,30.67,71.29,199.59,6.64,2.58,0.39,6,2,8,77.18226,1
10.65,29.81,73.16,204.43,6.48,2.69,0.41,6,2,8,80.69234,0
11.81,21.37,75.48,202.73,5.44,2.79,0.51,6,2,8,61.080563,0
9.69,30.67,68.31,178.35,8.48,3.17,0.37,6,2,8,68.87278,1
20.92,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,32.284943,0
13.73,45,75.29,150.57,4.6,3.5,0.76,4,6,7.6,5.336495,0
12.67,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,14.859576,0
10.36,43.95,85,155.14,9.6,6.91,0.72,2,0.3,7.5,11.311963,0
9.74,30.05,70.92,197.71,8.17,2.93,0.36,6,2,8,86.05076,0
10.55,39.98,72.79,177.49,18.38,4.05,0.22,6,2,8,73.775185,2
3.16,32.22,79.91,159.83,6.7,4.4,0.66,9.9,16.6,7.5,48.91444,0
9.41,32.13,77.1,231.3,7.7,4.6,0.6,6,3,7.5,29.675802,2
22.05,50,78,162.5,11.9,7.34,0.62,17,28.5,7.5,57.918606,0
10,50,75.51,151.02,7.12,4.89,0.69,6,6,7.5,15.442005,2
7.91,30.86,74.77,224.31,7.7,4.6,0.6,6,3,7.5,41.986237,2
11.14,55,75,164.85,9.6,6.91,0.72,2,0.5,7.6,31.990744,0
10.85,30.5,81,176.78,7,5.3,0.76,4,2,7.5,4.8044834,0
9.65,47.5,75,151,9.6,6.91,0.72,2,1.5,7.4,18.394836,1
14.03,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,25.602863,0
