infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P removal
11.14,55,75,164.85,9.6,6.91,0.72,2,1.5,7.6,31.990744,82.7
10.19,31.54,72.04,177.08,7.9,2.95,0.37,6,2,8,71.15919,76.7
9.83,29.43,72.41,188.76,5.96,2.47,0.41,6,2,8,70.84004,75.2
13.16,47.5,75,168,9.6,6.91,0.72,2,1.5,7.4,30.240362,58.8
10.64,50,82.6,165.2,7.5,5.83,0.78,6,6,7.5,0.73216075,79.9
12.36,43.23,85,158.61,9.6,6.91,0.72,2,1,6.5,9.578959,87.2
12.08,10.09,71.61,183.1,5.85,3.06,0.52,6,2,8,52.03522,51.1
10.13,55,84,156.17,9.6,6.91,0.72,2,1,7.6,13.483453,100
11.71,46.73,75.06,150.12,6.7,4.4,0.66,7,6.4,7.5,21.844929,100
27.66,50,72,144,7.5,5.3,0.71,3,3,7.6,16.341768,90.7
10.13,55,84,156.17,9.6,6.91,0.72,2,0.5,7.6,13.483453,62.1
9.62,48.15,78.4,235.19,7.7,4.6,0.6,6,3,7.5,24.912937,97.1
6.79,42.72,85,166.95,9.6,6.91,0.72,2,0.5,7.6,11.38386,100
9.48,42.5,79.54,238.61,7.7,4.6,0.6,6,3,7.5,24.770576,96.4
11.63,47.5,75,166,9.6,6.91,0.72,2,1.5,7.4,39.137173,68.4
11.1,40.6,70.32,214.78,4.78,2.4,0.5,6,2,8,62.77732,72.4
11.42,47.5,75,163,9.6,6.91,0.72,2,1.5,7.4,44.821068,83.8
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,14,7.4,18.325752,62.1
9.96,22.8,76.8,151.9,6.91,4.18,0.61,12,24,7.4,29.992184,61.5
6.09,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,25.009195,14.3
10.61,19.64,68.39,196.32,5.24,2.65,0.5,6,2,8,63.19544,79.3
9.91,44.84,56.97,134.85,4,3.1,0.78,6,3,7.4,20.988853,66.5
15.46,45,81,162,7,5.37,0.77,5,6,7.5,2.9368267,30.1
9.74,51.26,73.16,196.63,13.96,3.8,0.27,6,2,8,84.53484,85.1
18.16,45,74,151.02,7.5,6.22,0.83,5,6,7.5,3.4894693,13.6
10.93,18.7,67.4,135.8,7.82,5.09,0.65,12,24,7.4,54.11514,3.9
10.05,50,75.45,150.9,5.5,4.6,0.84,4.8,4.8,7.6,9.1440735,70.3
10.33,38.61,67.93,188.2,12.56,4.07,0.32,6,2,8,71.99128,74.6
8.42,23.6,76.04,152.09,6.7,4.4,0.66,8.8,12.8,7.5,50.866776,85.6
10.07,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,43.212734,100
10.88,31.05,70.97,203.67,4.85,2.43,0.5,6,2,8,60.912735,70.2
12.42,40,66.48,132.96,8.2,5.6,0.68,10,12,7.6,39.94286,85.1
9.57,45,52,118,4,3.1,0.78,5.8,3.8,7.4,25.452478,68.1
13.16,45,140.29,137.54,7.5,6.22,0.83,5,6,7.5,5.628805,34.5
9.92,50.89,70.55,179.9,16.47,3.76,0.23,6,2,8,79.78928,89.1
9.75,50,70,140,7.5,5.3,0.71,3,3,7.6,15.566596,31.6
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,4,7.4,18.325752,21.6
10.46,18.7,67.4,135.8,7.79,5.09,0.65,12,24,7.4,46.644627,21.6
10.4,50,80.66,168.03,12.9,8.23,0.64,19.1,30.8,7.5,27.061563,69.5
11.14,55,75,164.85,9.6,6.91,0.72,2,0.3,7.6,31.990744,0
10.37,31.42,73.53,188.96,5.89,2.7,0.46,6,2,8,80.08783,75.9
9.77,50,80,160,7.12,4.89,0.69,6,6,7.5,23.774721,84.4
10.11,22.8,76.8,151.9,7.52,4.09,0.54,12,24,7.4,68.19595,60.3
10.29,22.8,76.8,151.9,6.91,3.94,0.57,12,24,7.4,47.509937,100
10.77,50,84,151.99,9.6,6.91,0.72,3,0.3,7.6,14.678042,0
11.32,9.84,71.61,191.33,5.61,2.88,0.51,6,2,8,53.194946,50.5
10.11,18.49,76.04,193.78,8.2,3.5,0.43,5,2,7.1,101.1935,100
8.79,22.8,76.8,151.9,7.12,4.21,0.59,12,24,7.4,31.18615,100
10.09,50,84,151.99,9.6,6.91,0.72,3,0.5,7.6,11.1616535,13.7
10.36,50.63,85,155.56,9.6,6.91,0.72,2,0.3,8,10.948464,53.2
7.68,37.01,90.59,181.19,6.7,4.4,0.66,8.9,13,7.5,48.6814,79.3
10.68,27.42,74.54,96.23,7.52,4.57,0.61,8,4,7.4,61.999302,44.8
11.28,47.5,75,185,9.6,6.91,0.72,2,1.5,7.4,18.528337,90.8
10.33,31.91,68.31,186,6.64,2.57,0.39,6,2,8,77.95452,69.2
10.36,52.54,85,155.73,9.6,6.91,0.72,2,0.5,8.5,8.573915,100
11.14,55,75,164.85,9.6,6.91,0.72,2,0.5,7.6,31.990744,2.5
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,2,7.4,18.325752,0
10.15,40.32,75.87,194.8,8.2,3.5,0.43,5,2.5,7.1,102.57705,100
9.91,44.84,56.97,134.85,4,3.1,0.78,6,1,7.4,20.988853,20.3
5.01,35.76,69.07,138.13,6.7,4.4,0.66,9.9,16.8,7.5,55.32497,73.2
10.5,38.98,71.61,200.46,4.6,2.19,0.48,6,2,8,57.801254,76.8
8.82,18.53,56.76,117.07,8.2,3.3,0.4,3.5,1.5,7.1,84.864296,80.1
10.39,19.14,74.19,197.49,4.73,2.17,0.46,6,2,8,60.423298,77.7
12.09,50,75.51,151.02,7.2,5.32,0.74,6,6,7.5,8.750462,82.6
7.09,48.99,87.54,175.07,6.7,4.4,0.66,7.3,7.4,7.5,55.138443,100
10,50,75.51,151.02,7.12,4.89,0.69,6,6,7.5,15.442005,92
11.1,9.59,78.06,180.74,5.83,3.01,0.52,6,2,8,56.405758,44.5
5.91,50,85,163.05,9.6,6.91,0.72,2,1,7.6,11.438308,100
10.21,18.7,67.4,135.8,8.48,4.82,0.57,12,24,7.4,32.677444,100
9.89,22.8,76.8,151.9,7.36,4.42,0.6,12,24,7.4,24.441294,100
10.01,28.32,69.8,210.16,6.33,2.92,0.46,6,2,8,86.95172,71.9
10.65,30.05,72.04,181.77,8.46,3.22,0.38,6,2,8,71.18738,75.3
9.51,29.43,70.92,189.4,4.9,2.18,0.44,6,2,8,62.70737,68.5
9.99,29.3,74.7,214.19,6.8,3,0.44,7.5,2,7.6,90.89817,74.6
9.99,50,76.71,153.42,7.2,5.32,0.74,6,6,7.5,13.48551,32.7
11.78,50,85.35,170.7,7.5,5.3,0.71,3,3,7.6,21.382565,81.3
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,4,7.5,3.6848714,90.2
